file_name,effects_overexposure_chronic,effects_overexposure_eyes,effects_overexposure_ingestion,effects_overexposure_inhalation,effects_overexposure_skin,first_aids_chronic,first_aids_eyes,first_aids_ingestion,first_aids_inhalation,first_aids_skin,health_hazards_chronic,health_hazards_eyes,health_hazards_ingestion,health_hazards_inhalation,health_hazards_skin,appearance,conditions_avoid,decomposition_products,eyes_protection,other_precautions,protective_equipment,protective_gloves,respiratory_protection,ventilation,disposal,extinguishing_media,fire_fighting,handling_storage,spill
bhwqr,,,,"inhalation may cause irritation of the respiratory tract, headaches, dizziness or drowsiness.",,,,, remove from exposure.,,,,,"inhalation may cause irritation of the respiratory tract, headaches, dizziness or drowsiness.",,,"WILL REACT W/WATER-WATER CONTAINING PRODUCTS TO GIVE OFF HEAT/FUMES. DON'T ALLOW WATER TO ENTER SEALED DRUMS,MAY EXPLODE",FUMES MAY CONTAIN CARBON MONOXIDE & OXIDES OF NITROGEN. MAY PRODUCE HAZARDOUS FUMES WHEN HEATED TO DECOMP AS IN WELDING.,SAFETY EYEWARE TO PROTECT AGAINST SPLASH,"MAKE SURE THE DRUM IS COMPLETELY EMPTY BEFORE ATTEMPTING TO WELD OR BRAZE. DO NOT FLAME CUT, BRAZE OR WELD WITHOUT A NIOSH APPROVED RESPIRATOR OR APPROPRIATE VENTILATION.",,CHEM RESISTANT IF REPEAT/PROLONG CONTACT,DO NOT BREATHE VAPORS OR MIST. WEAR NIOSH/MSHA TC19C AIR LINE RESPIRATOR OR TC23C VAPOR/PARTICULATE RESPIRATOR WHEN ISOCYANATES ARE 10 X LESS THAN TLV'S.,GENERAL DILUTION OR LOCAL EXHAUST VENTILATION TO KEEP TWA/LEL BELOW ACCEPTABLE LIMITS & TO REMOVE DECOMPOSITION PRODUCTS,"DISPOSE OF IN ACCORDANCE WITH LOCAL, STATE AND FEDERAL REGULATIONS.","USE WATER FOG, FOAM, DRY CHEMICAL OR CARBON DIOXIDE.",,CONTAINERS SHOULD BE GROUNDED WHEN POURING. AVOID FREE FALL OF LIQUID IN EXCESS OF A FEW INCHES. DRUM SHOULD BE INDUSTRIALLY CLEANED PRIOR TO REUSE.,REMOVE ALL SOURCES OF IGNITION. AVOID BREATHING VAPORS. VENTILATE AREA AND REMOVE WITH INERT ABSORBANT AND NON-SPARKING TOOLS.
bhwpv,,,,,,, immediately flush with plenty of water for 15 minutes.,,,,,,,,,"TRANSPARENT FILM, BLUE TINT, ESSENTIALLLY ODORLESS","EXPOSURE TO LIGHT, ELEVATED TEMPERATURES, HIGH HUMIDITY","CARBON DIOXIDE AND CARBON MONOXIDE,HYDROCARBONS, SILVER OXIDE AND TRACE LEVELS OF MERCURY OXIDES & HYDROGEN BROMIDE.",SAFETY GLASSES OR CHEM SPLASH GOGGLES,MAINTAIN REGULAR CLEANING OF IMAGING EQUIPMENT BY AN AUTHORIZED SERVICE TECHNICIAN. PROCESS FILM IN A VENTILATED AREA.,"FOR EQUIPMENT CLEANING & SERVICING, USE NITRILE GLOVES AND OTHER EQUIPMENT AS REQUIRED TO AVOID SKIN CONTACT W/RESIDUES.",NITRILE RUBBER GLOVES (FOR CLEANING),NOT REQUIRED UNDER NORMAL USE.,USE IN A WELL VENTILATED AREA,"RECLAMATION OF SILVER AND MERCURY BY A PERMITTED RECOVERY FACILITY IS PREFERRED. DISPOSE OF IN ACCORDANCE WITH ALL APPLICABLE FEDERAL, STATE AND LOCAL REGULATIONS.","WATER, CARBON DIOXIDE, DRY CHEMICAL",FOR FIRE INVOLVING SIGNIFICANT AMOUNTS OF THIS FILM: WEAR SELF-CONTAINED BREATHING APPARATUS (SCBA) AND FULL PROTECTIVE GEAR.,"STORE IN A COOL AREA. HMIS:PROTECT FROM EXPOSURE TO LIGHT, HEAT, MOISTURE.",
bhwsm,,,,,,,,,,,,"eye:mod irrit, corneal injury.",,,"skin absorb:widespread/prolong expo may result in absorption of harmful amts particularly infants.inhal :loc concen may cause mild nose/throat irrit,>tlv head/drows.skin:loc redness w/crack/dry.eye:mod irrit, corneal injury.",COLORLESS LIQUID;CHARACTERISTIC ODOR,NONE PER MSDS; HOWEVER AVOID ALL SOURCES OF IGNITION (OPEN FLAMES/SPARKS/HEATERS/ELECTRICAL EQPMT/PILOT LIGHTS/ETC).,BURNING:CARBON MONOXIDE (TOXIC) &/OR CARBON DIOXIDE (ASPHYXIANT).,MONOGOGGLES.,CAUSES EYE IRRITATION. AVOID CONTACT W/EYES.,"EYE BATH, SAFETY SHOWER.",RUBBER OR PLASTIC GLOVES.,SELF-CONTAINED BREATHING APPARATUS IN HIGH VAPOR CONCENTRATIONS.,"GEN(MECHANICAL) RM VENTILATION SHOULD BE SAT.SPECIAL,LOC VENTILATION IS NEEDED @PTS WHERE VAP ARE EXPECTED TO ESCAPE TO.","INCINERATE IN FURNACE WHERE PERMITTED UNDER APPROPRIATE LOCAL, STATE AND FEDERAL REGULATIONS.@VERY LOW CONCEN IN WATER (10PPM) PRODUCT CAN BE READILY BIODEGRADED IN A BIOLOGICAL WASTEWATER TREATMENT P LANT.",APPLY ALCOHOL-TYP OR ALL-PURPOSE TYP FOAMS BY MFG'S RECOMMENDED TECHNIQUES FOR LG FIRES.USE CO2 OR DRY CHEM FOR SM FIRES,USE WATERSPRAY TO COOL FIRE-EXPO CNTNRS/STRUCTURES.USE WATERSPRAY TO DISPERSE VAPO;REIGN IS POSSIBLE.USE SELF-CONTAINED BREATHING APPARATUS & PROTECTIVE CLOTH.,WARNING! FLAMMABLE. KEEP AWAY FROM HEAT/SPARKS/FLAME. KEEP CONTAINER CLOSED. USE W/ADEQUATE VENTILATION.,EXTINGUISH & DO NOT TURN ON ANY IGN SOURCE TIL AREA IS DETERMINED TO BE FREE FROM EXPLO/FIRE HAZ.COLLECT LG SPILLS FOR DISPOSAL.FLUSH SM SPILLS W/WATER.WEAR SUITABLE PROTECTIVE EQPMT ESPECIALLY EYE PR OTECTION.
bhwfl,,,,,,,flush for 15 minutes with water.skin:flush and wash with soap and water.ingestion:give 2 glasses of water and induce vomiting.call md.inhalation:move to fresh air.give artificial respiration if n ecessary.,ingestion:give 2 glasses of water and induce vomiting.call md.inhalation:move to fresh air.give artificial respiration if n ecessary.,inhalation:move to fresh air.give artificial respiration if n ecessary.,skin:flush and wash with soap and water.ingestion:give 2 glasses of water and induce vomiting.call md.inhalation:move to fresh air.give artificial respiration if n ecessary.,,,,,,N/K ,SOURCES OF IGNITION.,"CARBON DIOXIDE,CARBON MONOXIDE.",SPLASH PROOF GOGGLES.,DO NOT BREATHE VAPORS.AVOID EYE AND SKIN CONTACT.WASH THOROUGHLY AFTER HANDLING.LAUNDER CONTAMINATED CLOTHING BEFORE REUSE.,N/K ,BUTYL RUBBER.,IN HIGH CONCENTRATIONS USE SCBA.WELL VENTILATED-USE RESPIRATOR WITH APPROVED ORGANIC CARTRIDGE.,CONSULT LOCAL SAFETY/HEALTH AUTHORITIES IF ADDITIONAL GUIDANCE IS NEEDED .,"DISPOSAL MUST BE IN ACCORDANCE WITH FEDERAL,STATE AND LOCAL REGULATIONS.COORDINATION WITH SUPPORTING INSTALLATION AND/OR MACOM ENVIRONMENTAL COORDINATION PRIOR TO DISPOSAL IS RECOMMENDED TO DETERMINE APPROPRIATE DISPOSAL METHODS .(SEE SUPP DAT)","ALCOHOL FOAM,CARBON DIOXIDE,DRY CHEMICAL.",WEAR SCBA AND PROTECTIVE CLOTHING.,"STORE IN COOL,DRY PLACE.KEEP CONTAINER CLOSED.KEEP AWAY FROM SPARKS AND FLAME.",WEAR SCBA DURING CLEAN-UP.ABSORB SPILLS ON SAND OR VERMICULITE AND PLACE IN CLOSED CONTAINERS FOR DISPOSAL.WASH SPILL AREA WITH WATER AFTER REMOVAL.
bhwgh,,irritation upon direct contact.skin:irritation upon direct contact.prolonged exposure may result in skin sensitization.ingestion:harmful if swallowed.inhalation:vapors can be irritating.,ingestion:harmful if swallowed.inhalation:vapors can be irritating.,inhalation:vapors can be irritating.,skin:irritation upon direct contact.prolonged exposure may result in skin sensitization.ingestion:harmful if swallowed.inhalation:vapors can be irritating.,,"immediately flush eyes with water for 15 minutes,get medical attention.skin:remove contaminated clothing.wash affected area with water.ingestion:if person is alert,give ample water and induce vom iting.get medical attention.inhalation:remove to fresh air.","ingestion:if person is alert,give ample water and induce vom iting.get medical attention.inhalation:remove to fresh air.",inhalation:remove to fresh air.,"skin:remove contaminated clothing.wash affected area with water.ingestion:if person is alert,give ample water and induce vom iting.get medical attention.inhalation:remove to fresh air.",,,,,skin sensitization.reported to produce mutagenic changes in bacteria and cultured human cells.phenyl glycidyl ethers:recent studies indicate mutagenic changes in laboratory animals.this has not been related to human exposures.,"GRAY PASTE,SLIGHTLY SWEET ODOR.","STORAGE IN OPEN CONTAINERS,EXPOSURE TO HEAT AND/OR OPEN FLAME,EXPOSURE TO INCOMPATIBLE SUBSTANCES.","CARBON MONIXIDE,ALDEHYDES,ACIDS.",N/K ,USE ONLY WITH ADEQUATE VENTILATION.,WEAR PROTECTIVE CLOTHING.,RECOMMENDED,N/K .,USE WITH GOOD LOCAL VENTILATION.FLEXIBLE DUCTWORK SHOULD EXTEND TO AREAS OF HIGH CONCENTRATION TO PREVENT (SEE SUPP),"DISPOSAL MUST BE IN ACCORDANCE WITH FEDERAL,STATE AND LOCAL REGULATIONS.COORDINATION WITH SUPPORTING INSTALLATION AND/OR MACOM ENVIRONMENTAL COORDINATION PRIOR TO DISPOSAL IS RECOMMENDED TO DETERMINE APPROPRIATE DISPOSAL METHODS .","CARBON DIOXIDE,DRY CHEMICAL,FOAM.",FIREFIGHTER SHOULD WEAR SELF-CONTAINED BREATHING APPARATUS.,"AVOID CONTACT.WEAR GLOVES & PROTECTIVE CLOTHING.AVOID VAPORS.STORE IN COOL DRY PLACE,AWAY FROM HEAT OR FLAME.KEEP CLOSED WHEN NOT IN USE.","SMALL SPILL:WIPE UP OR ABSORB WITH VERMICULITE OR OTHER ABSORBANT.COLLECT IN SEALED CONTAINERS.WASH AREA WITH SOAPY WATER.RINSE.LARGE SPILL:DIKE AREA.SHOVEL OR PUMP TO DRUM/SALVAGE TANK.ABSORB RESIDUE WITH SAND,VERMICULITE,OTHER ABSORBENT (SEE SUPP)"
bhwds,,,,,,,,,,,,,,,,"SOLID, BATTERY",NONE,"OXIDES OF SULFUR, CARBON.",SAFETY GLASSES,"PUBLICATIONS FOR DETAIL HANDLING: 1.N. IRVING SAX ""DANGEROUS PROPERTIES OF INDUSTRIAL MATERIALS: REINHOLD; 2. MATHESON GAS DATA BOOK;MATHESON,EAST RUTHERFORD, N.J.",,NONE USUALLY,NONE USUALLY,NORMAL VENTILATION,"CELLS AND BATTERIES FOR DISPOSAL SHOULD BE COLLECTED, TRANSPORTED AND DISPOSED IN A MANNER TO PREVENT SHOUT-CIRCUITING,COMPACTING OR MUTILATION TO DESTROY THEIR PHYSICAL INTEGRITY. CELLS SHOULD NOT BE INCINERATED,UNLESS SUITABLE PROCEDURESTAKEN.",USE WATER TO HANDLE LITHIUM BATTERY FIRES.,"WEAR SELF-CONTAINED BREATHING APPARATUS. POISONOUS,FLAMMABLE GASES MAY BE RELEASED DURING FIRE SITUATION.","STORE AT WELL-VENTILATED STRUCTURE,IN A SPRINKLER-PROTECTED,NON-COMBUSTIBLE STRUCTURE WITH ADEQUATE CLEARANCEBETWEEN WALL AND BATTERY STACKS.",
bhwdd,,,,,,,eyes and skin:flush with large amount of water for about 15-20 minutes;seek medical attention immediately.inhalation:remove to fresh air;call a physician.ingestion:seek medical attention immediately.,ingestion:seek medical attention immediately.,inhalation:remove to fresh air;call a physician.ingestion:seek medical attention immediately.,skin:flush with large amount of water for about 15-20 minutes;seek medical attention immediately.inhalation:remove to fresh air;call a physician.ingestion:seek medical attention immediately.,,eyes.,,,,YELLOW/ORANGE FREE FLOWING COURSE POWDER,NONE NOTED,NOT SPECIFIED,SAFETY GLASSES/GOGGLES,WASH THOROUGHLY AFTER EACH USE.,"PROTECTIVE CLOTHINGS.EYE-WASH FACILITIES,SAFETY SHOWER.",IMPERVIOUS,USE NIOSH/MSHA APPROVED RESPIRATOR FOR DUST/MIST IF ABOVE PEL/TLV OR SCBA IN AN ENCLOSED AREA.,LOCAL/GENERAL TO MAINTAIN PEL/TLV.,"CONSULT LOCAL AUTHORITIES;DISPOSAL MUST BE IN ACCORDANCE WITH LOCAL,STATE AND FEDERAL REGULATIONS","USE CARBON DIOXIDE, FOAM, DRY CHEMICAL, OR WATER FOG.",FIRE FIGHTERS SHOULD USE NIOSH APPROVED SCBA & FULL PROTECTIVE EQUIPMENT WHEN FIGHTING CHEMICAL FIRE. USE WATER SPRAY TO COOL NEARBY CONTAINERS EXPOSED TO FIRE.,"STORE IN COOL,DRY AND WELL VENTILATED AREA.KEEP CONTAINER CLOSED WHEN NOT IN USE.AVOID CONTACT WITH CLOTHING MAY CAUSE STAINS.",USE PROPER PERSONAL PROTECTION;SWEEP UP OR VACUUM AND COLLECT FOR PROPER DISPOSAL IN AN APPROVED CONTAINER.
bhwkk,,eye: potential irritation from airborne dust; ingest: n/k.,,inhalation of airborne dust containing asbestos fibers on repeated exposure may cause or can lead to asbestosis / mesothelioma; skin: n/k; eye: potential irritation from airborne dust; ingest: n/k.,skin: n/k; eye: potential irritation from airborne dust; ingest: n/k.,,,,,,chronic: dust from abrasive actions(eg.,,,,,"MANUFACTURED COMMODITY DESCRIBED BY LOGISTICS: ""ITEM-NAME""",NONE KNOWN,,SAFETY GLASSES W/SIDE SHIELDS OR GOGGLES,"AS MANUFACTURED, LOCKED-IN ASBESTOS DOES NOT PRESENT A HAZARD. ONLY WHEN THE ITEM IS SUBJECTED TO ABRASIVE ACTIONS & DUST IS GENERATED, THEN ASBESTOS FIBERS MAY BE RELEASED & BECOME AIRBORNE.","AS REQUIRED FOR TASK AT HAND, AND THE GUIDANCE SET FORTH BY YOUR SAFETY OFFICE OR IH PERSONNEL",AS REQUIRED FOR TASK AT HAND.,"IF EXPOSURES EXCEED ESTABLISHED LIMITS, A NIOSH/MSHA APPROVED RESPIRATOR FOR ASBESTOS SHOULD BE USED. CONSULT YOUR SAFETY OFFICE/IH PERSONNEL FOR GUIDANCE FOR THE TASK AT HAND.","LOCAL EXHAUST IS RECOMMENDED IN SITUATIONS WHERE DUST IS GENERATED BY ABRASIVE ACTIONS, ABRASION OR OTHER MEANS.","DUST SHOULD BE HANDLED AS A HAZARDOUS AIR POLLUTANT I/A/W 40CFR61 SUBPART ""M"" PERTAINING TO ASBESTOS. USE LANDFILLS APPROVED FOR ASBESTOS DISPOSAL. NOTE IF ITEM UNDER CONSIDERATION FOR DISPOSAL IS ""FRIABLE OR NON-FRIABLE"".",MATERIAL IS NOT FLAMMABLE ; USE MEDIA APPROPRIATE FOR SURROUNDING FIRE.,COMBUSTION PRODUCTS OF THIS MATERIAL MAY BE TOXIC. USE A SELF-CONTAINED BREATHING APPARATUS WHEN FIGHTING FIRES INVOLVING CHEMICAL PRODUCTS.,HANDLE IN A MATTER TO MINIMIZE FORMATION OR RETENTION OF AIRBORNE DUST. USE PROPER PERSONAL PROTECTION FOR TASK AT HAND. CHECK W/YOUR SAFETY OFFICE!!!,"USE PROPER PERSONAL PROTECTION. VACUUM OR WET CLEAN IF DUST IS INVOLVED. ANY VACUUM SYSTEM SHOULD BE EQUIPPED W/ AN OUTLET ""HEPA"" FILTER TO PREVENT REINTRODUCING ASBESTOS FIBERS TO THE ATMOSPHERE."
bhwjx,,,,,,,,,,,,,,,,,AVOID EXCESSIVE HEAT AND SOURCES OF IGNITION.,"BURNING, INCLUDING WHEN HEATED BY WELDING OR CUTTING, WILL PRODUCE SMOKE, CARBON MONOXIDE AND CARBON DIOXIDE.",WEAR SAFETY SPECTACLES.,DO NOT REUSE EMPTY CONTAINER. DO NOT TAKE INTERNALLY. CONTAINER SHOULD BE GROUNDED AND BONDED TO THE RECEIVING CONTAINER. DO NOT WELD/BRAZE OR CUT CONT'R.NEVER USE PRESSURE TO EMPTY. DRUM IS NOT A PRESSURE VESSEL. CLOSE AFTER EA USE.,NOT LIKELY TO BE NEEDED.,SOLVENT IMPERMEABLE GLOVES.,"WELL VENTILATED AREA-RESP NOT REQ. RESTRICTED VENT-NIOSH CHEMICAL CARTRIDGE MAY BE REQ. IF SPRAYING, MECH PREFILTER MAY BE REQ. IF TLF ARE EXCEEDED, USE A PROP FITTED NIOSH/MSHA RESP W/APPROP PROTECTI ON FACTOR. SEE OSHA 29 CFR 1910.134.",PROVIDE DILUT/LOCAL EXH VENT TO KEEP CONCENT OF HAZ INGRID BELOW EXPOSURE LMT STD. REMOVE PROD GEN-WELD/CUT/BRAZ OBJECT,INCINERATE ONLY IN EPA PERMITTED FACILITY. DISPOSEONLY IAW FED/STATE/LOCAL REGS. DO NOT INCINERATE CLOSED CONTAINERS. OBSERVE PRECAUTIONS FOR DIS- POSAL OF FLAMMABLE MAT'S. CONTAMINATED ABSORBENT MAY BE DISPOSED IN A HAZARDOUS WASTE LANDFILL.,USE NFPA CLASS B FIRE EXTINGUISHERS. POLYMER FOAM IS PREFERRED FOR LARGE FIRES.,"WEAR SELF-CONTAINED BREATHING APPARATUS. WATER TO COOL CONT TO PREVENT POSSIBLE AUTO-IGNITION OR EXPLOSION. IF WATER IS USED, FOG NOZZLES ARE PREFERABLE.",DO NOT STORE ABOVE 95F. STORE LARGE QUANTITIES IN COMPLIANCE WITH OSHA 29CFR1910.106.,ELIM ALL IGNITION SOURCES. DIKE/CONTAIN SPILL WITHINERT MAT'L. TRANSFER LIQ'S/ABSORBENT DIKING MAT'LIN COVERED METAL CONT'S FOR RECOVERY/DISPOSAL. USEONLY NON-SPARKING TOOLS. PREVENT CONTAM OF SEWERS/ STREAMS/GROUNDWATER W/SPILLED MAT'L/USED ABSORBENT
bhwhg,,eye: potential irritation from airborne dust; ingest: n/k.,,inhalation of airborne dust containing asbestos fibers on repeated exposure may cause or can lead to asbestosis / mesothelioma; skin: n/k; eye: potential irritation from airborne dust; ingest: n/k.,skin: n/k; eye: potential irritation from airborne dust; ingest: n/k.,,,,,,chronic: dust from abrasive actions(eg.,,,,,"MANUFACTURED COMMODITY DESCRIBED BY LOGISTICS: ""ITEM-NAME""",NONE KNOWN,,SAFETY GLASSES W/SIDE SHIELDS OR GOGGLES,"AS MANUFACTURED, LOCKED-IN ASBESTOS DOES NOT PRESENT A HAZARD. ONLY WHEN THE ITEM IS SUBJECTED TO ABRASIVE ACTIONS & DUST IS GENERATED, THEN ASBESTOS FIBERS MAY BE RELEASED & BECOME AIRBORNE.","AS REQUIRED FOR TASK AT HAND, AND THE GUIDANCE SET FORTH BY YOUR SAFETY OFFICE OR IH PERSONNEL",AS REQUIRED FOR TASK AT HAND.,"IF EXPOSURES EXCEED ESTABLISHED LIMITS, A NIOSH/MSHA APPROVED RESPIRATOR FOR ASBESTOS SHOULD BE USED. CONSULT YOUR SAFETY OFFICE/IH PERSONNEL FOR GUIDANCE FOR THE TASK AT HAND.","LOCAL EXHAUST IS RECOMMENDED IN SITUATIONS WHERE DUST IS GENERATED BY ABRASIVE ACTIONS, ABRASION OR OTHER MEANS.","DUST SHOULD BE HANDLED AS A HAZARDOUS AIR POLLUTANT I/A/W 40CFR61 SUBPART ""M"" PERTAINING TO ASBESTOS. USE LANDFILLS APPROVED FOR ASBESTOS DISPOSAL. NOTE IF ITEM UNDER CONSIDERATION FOR DISPOSAL IS ""FRIABLE OR NON-FRIABLE"".",MATERIAL IS NOT FLAMMABLE ; USE MEDIA APPROPRIATE FOR SURROUNDING FIRE.,COMBUSTION PRODUCTS OF THIS MATERIAL MAY BE TOXIC. USE A SELF-CONTAINED BREATHING APPARATUS WHEN FIGHTING FIRES INVOLVING CHEMICAL PRODUCTS.,HANDLE IN A MATTER TO MINIMIZE FORMATION OR RETENTION OF AIRBORNE DUST. USE PROPER PERSONAL PROTECTION FOR TASK AT HAND. CHECK W/YOUR SAFETY OFFICE!!!,"USE PROPER PERSONAL PROTECTION. VACUUM OR WET CLEAN IF DUST IS INVOLVED. ANY VACUUM SYSTEM SHOULD BE EQUIPPED W/ AN OUTLET ""HEPA"" FILTER TO PREVENT REINTRODUCING ASBESTOS FIBERS TO THE ATMOSPHERE."
bhwjz,,,,,,,,,remove to fresh air.,,,eye:material as supplied causes severe irritation & corneal injury; skin:material as supplied causes severe irritation & chemical burns;dela yed effect: material is a skin sensitizer.,,,skin:material as supplied causes severe irritation & chemical burns;dela yed effect: material is a skin sensitizer.,"CLEAR,YELLOW LIQUID; MILD AROMATIC ODOR.",NONE STATED,HYDROGEN CHLORIDE AND OXIDES OF SULFUR.,SAFETY GOGGLES WITH OPTIONAL FACE SHIELD,EYE WASHES AND SAFETY SHOWERS.,EYE WASH STATION AND SAFETY SHOWER. INDUSTRIAL-TY WORK CLOTHING AND APRON AS REQUIRED.,IMPERVIOUS TYPES.,WEAR MSHA/NIOSH APPROVED RESPIRATOR SUITABLE FOR CONCENTRATIONS ENCLOUNTERED WHERE EXPOSURE LIMITS ARE EXCEEDED.,MECHANICAL LOCAL EXHAUST AT POINTS OF CONTAMINANT (VAPOR OR MIST RELEASE.,"FOR DISCARD,THIS IS A HAZARD WASTE:RCRA NO. D002;DISPOSE OF IN ACCORDANCE WITH LOCAL, STATE, AND FEDERAL REGULATIONS, LANDFILL CONTAMINATED SOLIDS IN SEALED DRUMS.","CARBON DIOXIDE, DRY CHEMICAL, WATER SPRAY.",WEAR BREATHING APPARATUS AND FULL PROTECTIV CLOTHING. USE WATER SPRAY TO COOL FIRE-EXPOSED CONTAINERS.,MATERIAL CAUSES CHEMICAL BUR AND IS A SKIN SENSITIZER. AVOID CONTACT WITH EYES AND SKIN. WASH AFTER HANDLIN AND SHOWER AT END OF WORK PERIOD.,"KEEP SPILLS OUT OF MUNICIPAL SEWERS AND OPEN BODIES OF WATER. DIKE AND ABSORB SPILL WITH INERT MATERIAL. SHOVEL AL CONTAMINATED SOLIDS--DIKING MATERIAL,ABSORBENT AND SOIL-- INTO CORROSION PROOF DRUMS. SEAL DRUMS BEFORE DISPOSAL."
bhwjm,,"eye/skin: irritating inhal: dizziness, nausea, unconsciousness",,,"skin: irritating inhal: dizziness, nausea, unconsciousness",," flush with water, consult a physician skin: wash with soap and water inhal: remove to fresh air, apply artifi cial respiration if necessary.",,,"skin: wash with soap and water inhal: remove to fresh air, apply artifi cial respiration if necessary.",,,,,,,NA,CARBON DIOXIDE/MONOXIDE ON COMBUSTION,SAFETY GOGGLES,"NPCA/HMIS RATING 3,2,0,H",PROTECT SKIN WITH CLOTHING OR BARRIER CREAM,IMPERVIOUS,VAPOR CARTRIDGE MASK OR AIR SUPPLIED HOOD.,SUFFICIENT VENTILATION NEEDED,AS PER LOCAL AND FEDERAL REGULATIONS FOR HAZARDOUSWASTE.,"FOAM, CO2, DRY CHEMCIAL",FIREFIGHTERS SHOULD WEAR SELF CONTAINED BREATHING APPARATUS,AVOID EXCESSIVE HEAT OR OPEN IGNITION SOURCES.,ABSORB SMALL SPILLS ON DRY ABSORPTION MEDIA. USE SPARK PROOF SCOOP FOR LARGER SPILLS. REMOVE OPEN IGNITION SOURCES. ENSURE ADEQUATE VENTILATION.
bhwhr,,"eye, skin & respiratory tract irritation.",,,skin & respiratory tract irritation.,,,,,,,eyes and skin irritation & rash.,,"inhalation will cause respiratory tract irritation & may be fatal.will irritate, burn & damage the eyes and skin irritation & rash.",skin irritation & rash.,"YELLOW COLOR,AMMONICAL ODOR",HIGH HEAT,POISONOUS HCN AND AMMONIA GASES.,SAFETY CHEM GOGGLES OR FULL-FACE SCBA,"DO NOT TAKE INTERNALLY. DO NOT BREATHE VAPORS/MIST. AVOID CONTACT WITH EYES, SKIN OR CLOTHING. USE WITH ADEQUATE VENTILATION. WASH THOROUGHLY AFTER HANDLING.",EYE WASH STATION AND SAFETY SHOWER. FIRST AID AND MEDICAL TREATMENT SUPPLIES INCLUDING OXYGEN RESUSCITATORS.,RUBBER GLOVES,"IF USE CONDITIONS GENERATE VAPORS/MIST WEAR A NIOSH APPROVED RESPIRATOR APPROPRIATE FOR EMISSION LEVELS. RESPIRATORS MAY BE A FULL FACEPIECE AIR-PURIFYING CARTRIDGE RESPIRATOR WITH PARTICULATE FILTERS , A SCBA, OR SUPPLIED-AIR RESPIRATOR.",LOCAL MECHANICAL EXHAUST VENTILATION CAPABLE OF MINIMIZING DUST EMISSIONS AT THE POINT OF USE.,"DISPOSAL SHOULD BE MADE IN ACCORDANCE WITH ALL APPLICABLE FEDERAL, STATE AND LOCAL LAWS AND REGULATIONS. NOTE: EMPTY CONTAINERS CAN HAVE RESIDUES AND ARE SUBJECT TO PROPER WASTE DISPOSAL REQUIREMENTS.","USE WATER FOG, CARBON DIOXIDE, FOAM, OR DRY CHEMICAL.",WEAR FIRE FIGHTING PROTECTIVE EQUIPMENT AND A FULL FACED SELF CONTAINED BREATHING APPARATUS. EVACUATE AREA. COOL FIRE EXPOSED CONTAINERS WITH WATER SPRAY.,"STORE IN A COOL, DRY, WELL VENTILATED AREA. KEEP CONTAINERS TIGHTLY CLOSED WHEN NOT IN USE. DO NOT STORE NEAR ACIDS, OXIDIZERS, FLAMMABLES OR FOODS.","WEAR PROTECTIVE EQUIPMENT & SCBA. SMALL SPILL: COLLECT AND DISPOSE OF IN DOT-APPROVED WASTE CONTAINERS. LARGE SPILL: USE INERT ABSORBENT AND DOT-APPROVED WASTE CONTAINERS. KEEP OUT OF SEWERS, STORM DR AINS, SURFACE WATERS, AND SOIL. KEEP SPILLAGE DRY."
